GeneID	controlL_rep2	PE60L_rep2	PE60L_rep1	PE200L_rep2	PE600L_rep2	PE600L_rep3	PE60L_rep3	PE200L_rep3	controlL_rep3	PE200L_rep1	PE600L_rep1	controlL_rep1
CQUJHB001251	460	264	589	416	392	205	278	175	332	705	934	914
CQUJHB009311	5058	1232	5184	1255	2329	1617	1798	2276	1372	6082	4673	6159
CQUJHB002499	172	393	186	199	264	160	131	150	166	218	344	422
CQUJHB008919	660	127	465	154	211	275	211	189	124	842	514	714
CQUJHB007520	7	0	19	0	3	2	0	0	0	13	6	31
CQUJHB000871	324	84	701	104	145	113	438	68	155	456	649	398
CQUJHB000994	71	223	103	290	114	191	148	331	50	59	27	77
CQUJHB007504	42	48	8	124	36	43	19	2	10	0	4	41
CQUJHB004386	2262	3058	1329	5114	913	4834	1525	2430	519	1645	666	2247
CQUJHB014855	1121	1369	1202	2997	2713	518	283	1389	674	34	572	5762
CQUJHB008878	6432	1314	4742	2026	3113	2382	829	842	2880	627	2176	17142
CQUJHB006821	3391	1842	2056	6590	4307	1324	710	1211	1003	222	2138	7491
CQUJHB012275	172	0	11	90	56	9	1	1	0	16	56	191
CQUJHB016513	3	1	3	2	0	6	1	3	0	7	1	27
CQUJHB003313	2541	1206	669	668	855	3310	968	2379	364	407	123	2763
CQUJHB001093	80	346	76	122	101	624	171	1597	100	68	39	59
CQUJHB007201	121	2432	283	568	268	1022	459	2061	309	72	68	302
CQUJHB003033	2	0	2	0	0	1	0	2	0	3	3	0
CQUJHB013713	796	184	197	199	184	1380	97	429	138	42	71	350
CQUJHB003193	1269	244	1041	1147	1141	1699	270	339	128	225	410	1305
CQUJHB004618	331	92	554	134	177	137	183	150	137	597	518	516
CQUJHB014935	135	51	148	92	97	64	42	38	83	119	182	323
CQUJHB010135	714	413	1138	348	595	257	402	565	638	901	1282	1245
CQUJHB008102	11963	4924	21882	6768	9418	6042	9082	5167	15334	20651	24863	22568
CQUJHB014545	557	201	1051	506	369	207	277	153	367	788	1260	1420
CQUJHB007393	112	0	62	12	19	9	14	2	12	113	82	102
CQUJHB003284	381	159	477	310	371	150	194	189	276	428	705	734
CQUJHB015438	212	23	18	52	9	68	48	31	0	382	192	21
CQUJHB006531	19	89	3	49	12	78	53	127	0	0	0	6
CQUJHB012249	95	37	132	276	30	475	30	95	0	214	42	17
CQUJHB012110	212	29	212	73	53	57	82	45	53	226	227	194
CQUJHB015533	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB013114	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017966	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012806	476	44	863	103	91	867	270	57	38	853	1164	504
CQUJHB007697	364	86	86	61	16	35	30	42	21	423	479	95
CQUJHB018311	7464	3252	8232	4917	4778	4408	3865	3534	2721	7398	8239	13325
CQUJHB008925	2	0	3	0	1	0	0	0	0	0	3	0
CQUJHB011412	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB004541	969	121	1123	241	264	149	406	286	75	1032	1139	1062
CQUJHB005657	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010267	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003340	512	146	714	261	313	165	229	123	144	547	950	1034
CQUJHB005800	506	69	620	89	110	141	115	74	139	380	541	578
CQUJHB011755	226	142	317	212	225	80	127	133	124	317	436	538
CQUJHB018243	664	480	603	579	654	264	279	327	368	613	1072	1295
CQUJHB017436	507	178	727	215	349	169	319	79	137	579	1057	988
CQUJHB013350	110	9	70	30	25	15	36	31	24	112	62	88
CQUJHB011212	34	23	51	19	41	26	4	14	0	28	25	53
CQUJHB014232	0	0	1	0	0	0	0	1	0	0	0	0
CQUJHB003909	164	143	159	0	79	16	72	90	6	14	204	327
CQUJHB010405	377	73	92	83	53	205	176	84	25	419	306	239
CQUJHB001117	7	0	1	0	1	1	0	0	1	0	1	0
CQUJHB013966	286	0	1	7	0	0	0	1	0	0	0	6
CQUJHB016484	2	0	0	0	0	0	1	0	0	0	0	0
CQUJHB014600	17205	105	44047	74	305	4926	1711	1833	87	42061	15515	19900
CQUJHB005411	13	0	11	0	5	0	1	1	0	3	7	5
CQUJHB007139	16029	358	7006	375	79	483	30	57	81	20056	19586	293
CQUJHB000842	704	5	136	0	149	2	273	95	25	19	1206	535
CQUJHB005642	2068	95	184	9	1214	17	1859	375	129	194	5640	508
CQUJHB011198	614	737	1144	6126	1657	399	390	857	129	9	433	7046
CQUJHB008524	818	521	774	820	1043	416	217	530	455	1040	785	824
CQUJHB012509	111	54	112	59	55	31	42	39	7	132	159	113
CQUJHB012831	351	4	273	47	34	54	2	13	5	722	242	106
CQUJHB004878	434	209	663	291	294	166	190	225	191	678	682	680
CQUJHB007189	522	713	561	483	499	375	444	690	360	725	621	805
CQUJHB004723	1	0	0	0	0	0	0	0	0	0	4	5
CQUJHB009078	4	0	2	0	0	0	2	2	0	0	0	2
CQUJHB003206	942	217	1027	340	396	286	575	309	440	1091	1305	981
CQUJHB010909	5214	1790	5624	1951	3096	1860	1233	2540	1063	8671	4799	5180
CQUJHB012526	493	337	489	637	791	81	190	270	356	238	633	1944
CQUJHB012702	1972	27	1074	234	177	342	36	55	70	2667	1462	297
CQUJHB013555	22	6	19	20	8	27	28	24	0	14	19	87
CQUJHB008627	53	10	11	18	21	17	31	18	0	21	33	57
CQUJHB016047	163	32	139	75	68	41	75	28	55	170	160	223
CQUJHB016515	110	8	92	17	22	13	56	17	76	99	62	102
CQUJHB017424	19	1	16	9	19	5	94	20	0	21	32	11
CQUJHB016941	5191	0	337	84	6	3	0	9	8	112	22	0
CQUJHB009960	729	129	345	192	316	114	265	144	194	714	639	575
CQUJHB007299	0	0	2	0	0	0	0	0	0	0	1	0
CQUJHB003056	196	1053	143	1992	333	410	457	1205	226	10	89	273
CQUJHB016995	878	234	476	203	579	201	374	219	336	632	686	793
CQUJHB013551	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015117	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006754	2672	1	515	2	106	85	15	12	41	6176	3429	80
