GeneID	controlF_rep2	PE60F_rep2	PE60F_rep1	PE200F_rep2	PE600F_rep2	PE600F_rep3	PE60F_rep3	PE200F_rep3	controlF_rep3	PE200F_rep1	PE600F_rep1	controlF_rep1
CQUJHB016401	150	158	68	135	69	86	181	58	72	108	104	99
CQUJHB004886	2	16	1	3	0	0	2	0	0	0	17	17
CQUJHB016616	40	80	20	63	44	14	20	26	17	26	58	46
CQUJHB006365	428	269	64	229	123	214	142	86	97	177	205	136
CQUJHB000104	605	810	294	664	354	381	499	138	127	441	1073	750
CQUJHB010162	71	335	27	136	93	35	48	13	13	113	61	374
CQUJHB016475	0	0	1	1	0	0	0	0	0	0	0	0
CQUJHB010569	37	3	0	15	0	7	11	1	2	2	24	11
CQUJHB013053	6479	8578	1655	3522	3105	3681	2825	871	1290	1847	12209	5866
CQUJHB004422	486	657	117	443	153	303	209	40	93	198	668	534
CQUJHB007198	0	1	0	3	0	0	0	5	0	0	0	3
CQUJHB002355	25	42	7	32	31	37	34	3	1	13	61	27
CQUJHB010052	24	9	2	4	12	0	6	0	4	6	41	11
CQUJHB008380	3	0	0	0	0	5	0	0	0	7	1	0
CQUJHB014431	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003930	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB020344	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB020283	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB001741	3	0	0	0	0	0	0	0	0	0	0	0
CQUJHB018062	0	0	0	3	0	0	0	0	0	0	0	0
CQUJHB020258	0	0	0	0	1	0	0	0	0	0	0	0
CQUJHB020437	0	0	0	0	0	0	0	0	3	0	0	0
CQUJHB020396	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB004961	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012404	14	84	10	60	36	25	17	9	9	23	36	77
CQUJHB016332	6	8	0	4	4	5	2	0	0	3	1	0
CQUJHB011366	484	945	67	257	61	215	84	29	71	163	861	136
CQUJHB015796	3847	898	183	254	238	539	335	82	128	352	521	121
CQUJHB003060	1	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006907	8	0	0	1	0	0	0	0	0	0	0	0
CQUJHB011613	1505	292	104	161	95	94	116	62	84	186	160	63
CQUJHB009604	13	18	9	5	8	10	10	0	3	7	13	6
CQUJHB012400	2360	1509	1877	2443	2678	1053	2887	1153	709	2039	1316	1802
CQUJHB000341	0	0	0	0	0	4	0	0	0	0	0	4
CQUJHB015332	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003292	0	0	1	12	1	0	0	0	0	0	5	10
CQUJHB006959	16	10	2	0	2	0	2	0	1	0	3	0
CQUJHB012307	5	0	1	15	20	6	6	3	2	5	4	15
CQUJHB006511	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007586	66	46	12	73	46	53	72	17	22	35	67	56
CQUJHB004373	65	90	24	52	13	32	16	11	8	24	108	52
CQUJHB002481	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003341	290	190	69	181	76	85	96	63	53	159	238	144
CQUJHB007109	43	45	14	30	26	21	23	11	8	17	42	64
CQUJHB004137	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003638	51	109	8	33	15	26	30	13	6	5	73	29
CQUJHB006499	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB000803	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010529	533	361	512	539	446	349	590	310	275	336	295	337
CQUJHB005143	269	250	53	150	89	100	109	55	41	108	339	240
CQUJHB013954	84	79	62	90	91	61	138	51	60	98	44	60
CQUJHB000575	0	0	0	0	0	3	0	0	0	0	0	0
CQUJHB002608	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB018055	519	479	221	369	315	303	292	138	155	305	424	303
CQUJHB015953	43	57	18	31	12	31	20	23	17	15	54	51
CQUJHB005148	899	882	185	669	383	401	675	281	268	477	778	517
CQUJHB010574	28	57	14	22	15	0	12	11	6	19	38	17
CQUJHB000325	5	20	2	5	6	4	2	3	3	23	2	0
CQUJHB009425	197	322	253	310	238	125	186	100	117	201	162	172
CQUJHB006220	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008571	27	10	12	6	5	20	6	27	38	0	123	20
CQUJHB011680	5	7	3	1	3	1	0	0	4	0	6	5
CQUJHB000928	32	1	6	3	26	1	7	13	10	6	39	28
CQUJHB006872	202	98	54	116	154	154	157	49	65	120	172	122
CQUJHB001972	43	41	12	72	58	34	78	29	36	134	40	31
CQUJHB008552	6	28	5	16	9	18	7	1	9	0	16	5
CQUJHB014386	0	0	0	1	0	0	0	0	0	2	0	0
CQUJHB001078	143	341	120	298	395	93	256	149	138	468	193	145
CQUJHB015260	1	0	0	0	0	0	0	0	0	0	4	3
CQUJHB002030	150	204	64	214	75	183	152	61	40	39	234	140
CQUJHB002158	5	0	0	6	5	0	4	0	0	3	5	0
CQUJHB018091	0	13	0	0	5	0	3	0	0	0	6	3
CQUJHB006461	5	0	0	0	0	0	0	0	0	0	5	0
CQUJHB007576	150	206	89	142	65	88	69	47	43	79	60	175
CQUJHB004111	0	0	0	0	0	2	0	0	0	0	3	0
CQUJHB017014	6	0	0	0	0	0	0	0	0	0	0	1
CQUJHB018247	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010629	19	54	33	55	72	12	40	20	22	59	16	18
CQUJHB004719	6	2	0	1	0	1	0	0	0	0	4	0
CQUJHB014664	3	23	1	20	0	5	7	0	2	10	11	0
CQUJHB011743	144	91	23	48	48	65	22	14	19	69	148	68
CQUJHB007881	229	486	133	340	194	205	317	112	102	292	234	271
CQUJHB018254	194	261	119	191	142	163	162	113	112	160	130	131
CQUJHB004627	47	94	26	53	23	32	64	19	19	47	56	56
CQUJHB009981	84	74	33	71	10	21	61	21	27	40	51	44
CQUJHB003073	29	18	7	7	17	21	17	5	6	4	35	7
CQUJHB004088	105	92	27	78	37	60	59	33	32	53	57	66
CQUJHB001875	15	45	10	11	0	0	5	0	1	20	18	19
CQUJHB004076	45	36	7	44	30	5	13	8	12	14	44	14
CQUJHB008748	52	31	11	22	16	28	25	14	5	31	44	46
CQUJHB008416	57	40	11	19	7	10	27	7	12	9	20	18
CQUJHB006655	114	75	16	61	31	45	43	10	17	36	67	57
CQUJHB000205	9	15	4	10	5	0	19	10	3	2	11	4
CQUJHB017757	69	26	13	41	12	20	36	18	29	20	38	45
CQUJHB012415	20	17	19	35	10	18	9	4	6	4	39	31
CQUJHB016972	1193	2714	1353	2723	2552	1021	2099	1077	991	3348	1611	1413
CQUJHB001853	43	5	14	15	6	12	7	2	8	11	28	26
CQUJHB004523	0	0	0	0	0	0	0	0	0	0	2	0
CQUJHB002941	0	14	0	4	0	0	0	0	0	0	0	0
CQUJHB005382	0	11	0	2	5	5	3	2	1	0	0	7
CQUJHB010472	7	5	0	1	2	0	0	1	1	2	2	0
CQUJHB012046	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002832	5	2	7	4	1	0	11	0	4	17	0	8
CQUJHB009790	91	61	42	64	91	66	48	22	34	34	55	68
CQUJHB006150	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007867	1342	2253	671	1548	715	632	1288	631	542	1026	1420	1269
CQUJHB014778	66	69	33	92	27	93	50	39	31	41	36	50
CQUJHB000086	91	90	67	121	63	139	68	50	79	34	109	36
CQUJHB002853	151	45	112	117	73	45	158	50	54	54	55	68
CQUJHB009000	41	57	15	30	13	9	22	16	9	6	45	65
CQUJHB011454	11	45	8	10	40	1	2	5	0	14	4	18
CQUJHB017372	0	0	0	1	0	0	0	0	0	0	0	0
CQUJHB016153	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006236	514	105	17	156	85	334	228	87	177	142	482	148
CQUJHB004744	27	64	74	160	222	32	38	34	53	64	59	17
CQUJHB000041	238	46	6	33	19	248	60	31	62	36	197	3
CQUJHB011359	1	0	0	0	0	0	0	3	1	0	1	0
CQUJHB005154	0	0	0	0	0	3	0	0	0	8	7	4
CQUJHB013163	9	3	4	7	3	22	12	3	1	1	0	10
CQUJHB017131	8	11	1	0	0	0	0	1	0	1	0	0
CQUJHB005354	7	10	1	0	1	1	0	1	0	0	1	0
CQUJHB010200	0	7	0	4	3	0	0	0	0	0	2	0
CQUJHB015832	689	320	224	237	313	1109	408	253	247	285	761	417
CQUJHB017373	528	325	281	411	307	199	370	257	252	409	267	245
CQUJHB001099	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012497	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012578	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB009461	0	0	0	0	0	0	0	0	0	0	4	0
CQUJHB002078	5	0	0	0	0	0	0	2	0	0	0	0
CQUJHB004694	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006712	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012768	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB004189	0	0	0	0	0	0	0	3	0	13	0	0
CQUJHB011197	11	15	13	7	0	13	8	0	3	1	6	10
CQUJHB004844	26	9	12	3	2	4	7	10	1	0	22	10
CQUJHB008442	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008256	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB004018	3	22	8	4	56	0	0	0	0	0	0	5
CQUJHB006116	116	91	83	97	42	20	51	22	17	27	149	182
CQUJHB015196	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014412	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014070	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011252	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB005274	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB008319	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003302	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002666	7	8	0	0	0	7	1	2	3	9	9	8
CQUJHB012761	0	0	2	0	0	0	0	0	0	0	0	0
CQUJHB015687	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB011777	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB014432	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB017683	0	0	0	0	0	0	1	0	0	0	0	2
CQUJHB003373	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002664	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006622	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB006232	0	4	0	0	0	0	0	0	0	0	0	0
CQUJHB007737	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB007472	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB012475	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB016920	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB003294	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB002052	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010230	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010812	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB015174	0	0	0	0	0	0	0	0	0	0	0	0
CQUJHB010897	0	0	0	0	0	0	0	0	0	0	0	0
