"";"stage";"sample_type";"treatment";"exposition";"run";"stage_exp";"se.chao1";"SR";"SampleID";"alpha_type";"alpha_diversity"
"140";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";14,3139423492702;106;"PE200_rep6";"core_abundance";0,987429799698652
"141";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";77,2753955844587;71;"PE200_rep7";"Chao1";186,5
"142";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";77,2753955844587;71;"PE200_rep7";"alpha_shannon";0,646423036224625
"143";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";77,2753955844587;71;"PE200_rep7";"alpha_simpson";0,3356805842758
"144";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";77,2753955844587;71;"PE200_rep7";"PD";12,067100555
"145";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";77,2753955844587;71;"PE200_rep7";"core_abundance";0,182824099398296
"146";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";13,4926092750996;57;"PE200_rep8";"Chao1";77
"147";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";13,4926092750996;57;"PE200_rep8";"alpha_shannon";0,844773016630852
"148";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";13,4926092750996;57;"PE200_rep8";"alpha_simpson";0,50798440243925
"149";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";13,4926092750996;57;"PE200_rep8";"PD";4,7383812185
"150";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";13,4926092750996;57;"PE200_rep8";"core_abundance";0,00683659419129655
"151";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";26,1094300451058;115;"PE200_rep9";"Chao1";179,6875
"152";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";26,1094300451058;115;"PE200_rep9";"alpha_shannon";0,930564070049868
"153";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";26,1094300451058;115;"PE200_rep9";"alpha_simpson";0,525152229552427
"154";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";26,1094300451058;115;"PE200_rep9";"PD";6,4965879745
"155";"female";"female_midgut";"200";"exposed";"run2";"EXP_femaleMID";26,1094300451058;115;"PE200_rep9";"core_abundance";0,394196623263348
"156";"female";"female_whole";"200";"exposed";"run1";"EXP_female";19,7958717686201;196;"PE200F_rep1";"Chao1";257,416666666667
"157";"female";"female_whole";"200";"exposed";"run1";"EXP_female";19,7958717686201;196;"PE200F_rep1";"alpha_shannon";1,1525181758529
"158";"female";"female_whole";"200";"exposed";"run1";"EXP_female";19,7958717686201;196;"PE200F_rep1";"alpha_simpson";0,436517473558257
"159";"female";"female_whole";"200";"exposed";"run1";"EXP_female";19,7958717686201;196;"PE200F_rep1";"PD";11,850537286
"160";"female";"female_whole";"200";"exposed";"run1";"EXP_female";19,7958717686201;196;"PE200F_rep1";"core_abundance";0,740433430638406
"161";"female";"female_whole";"200";"exposed";"run1";"EXP_female";8,42857162017691;100;"PE200F_rep2";"Chao1";116,25
"162";"female";"female_whole";"200";"exposed";"run1";"EXP_female";8,42857162017691;100;"PE200F_rep2";"alpha_shannon";0,939976716754148
"163";"female";"female_whole";"200";"exposed";"run1";"EXP_female";8,42857162017691;100;"PE200F_rep2";"alpha_simpson";0,519216569432187
"164";"female";"female_whole";"200";"exposed";"run1";"EXP_female";8,42857162017691;100;"PE200F_rep2";"PD";5,8822261105
"165";"female";"female_whole";"200";"exposed";"run1";"EXP_female";8,42857162017691;100;"PE200F_rep2";"core_abundance";0,368801192506877
"166";"female";"female_whole";"200";"exposed";"run1";"EXP_female";13,6426418858993;106;"PE200F_rep3";"Chao1";135,176470588235
"167";"female";"female_whole";"200";"exposed";"run1";"EXP_female";13,6426418858993;106;"PE200F_rep3";"alpha_shannon";0,89250722123522
"168";"female";"female_whole";"200";"exposed";"run1";"EXP_female";13,6426418858993;106;"PE200F_rep3";"alpha_simpson";0,497005524069423
"169";"female";"female_whole";"200";"exposed";"run1";"EXP_female";13,6426418858993;106;"PE200F_rep3";"PD";9,704460461
"170";"female";"female_whole";"200";"exposed";"run1";"EXP_female";13,6426418858993;106;"PE200F_rep3";"core_abundance";0,624309231150577
"171";"larvae";"larvae_whole";"200";"exposed";"run1";"EXP_larvae";23,0068655623492;402;"PE200L_rep1";"Chao1";491,266666666667
